series,episode,baker_name,first_name,technical,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown
2,7,Holly Bell,Holly,1,IN,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",31,Advertising executive,Leicester
2,8,Holly Bell,Holly,2,Runner-up,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,31,Advertising executive,Leicester
2,1,Ian Vallance,Ian,10,IN,Apple and Cinnamon Cupcakes,UNKNOWN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,2,Ian Vallance,Ian,2,IN,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,3,Ian Vallance,Ian,10,OUT,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,4,Ian Vallance,Ian,NA,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,5,Ian Vallance,Ian,NA,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,6,Ian Vallance,Ian,NA,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,7,Ian Vallance,Ian,NA,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,8,Ian Vallance,Ian,NA,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,1,Janet Basu,Janet,8,IN,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles,63,Teacher of Modern Languages,"Formby, Liverpool"
2,2,Janet Basu,Janet,8,IN,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts,63,Teacher of Modern Languages,"Formby, Liverpool"
2,3,Janet Basu,Janet,8,IN,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,63,Teacher of Modern Languages,"Formby, Liverpool"
2,4,Janet Basu,Janet,4,IN,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",63,Teacher of Modern Languages,"Formby, Liverpool"
2,5,Janet Basu,Janet,1,STAR BAKER,Chicken and Chestnut Pie,Rhubarb Meringue Pie,63,Teacher of Modern Languages,"Formby, Liverpool"
2,6,Janet Basu,Janet,5,IN,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche,63,Teacher of Modern Languages,"Formby, Liverpool"
2,7,Janet Basu,Janet,4,OUT,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat,63,Teacher of Modern Languages,"Formby, Liverpool"
2,8,Janet Basu,Janet,NA,NA,NA,NA,63,Teacher of Modern Languages,"Formby, Liverpool"
2,1,Jason White,Jason,6,IN,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN,19,Civil Engineering Student,Croydon
2,2,Jason White,Jason,3,STAR BAKER,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,19,Civil Engineering Student,Croydon
2,3,Jason White,Jason,7,IN,Cheese and Onion Tear and Share Loaf,UNKNOWN,19,Civil Engineering Student,Croydon
2,4,Jason White,Jason,1,STAR BAKER,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",19,Civil Engineering Student,Croydon
